index,pred,opt_pred
606,0.06,0.00
607,0.04,64.05
608,0.04,68.79
609,0.02,100.00
610,0.15,0.00
611,0.18,0.00
612,0.04,60.43
613,0.05,0.00
614,0.12,0.00
615,0.04,65.57
616,0.16,0.00
617,0.06,0.00
618,0.08,0.00
619,0.04,61.80
620,0.15,0.00
621,0.04,66.14
622,0.07,0.00
623,0.05,0.00
624,0.05,0.00
625,0.03,100.00
626,0.07,0.00
627,0.03,100.00
628,0.07,0.00
629,0.05,0.00
630,0.18,0.00
631,0.04,68.23
632,0.04,64.63
633,0.02,100.00
634,0.08,0.00
635,0.04,63.00
636,0.04,66.15
637,0.03,100.00
638,0.04,64.53
639,0.15,0.00
640,0.06,0.00
641,0.11,0.00
642,0.02,100.00
643,0.16,0.00
644,0.05,0.00
645,0.07,0.00
646,0.11,0.00
647,0.04,63.03
648,0.03,100.00
649,0.03,100.00
650,0.07,0.00
651,0.14,0.00
652,0.03,100.00
653,0.17,0.00
654,0.04,64.95
655,0.04,64.62
656,0.03,100.00
657,0.06,0.00
658,0.09,0.00
659,0.16,0.00
660,0.04,60.63
661,0.12,0.00
662,0.04,67.14
663,0.17,0.00
664,0.03,100.00
665,0.06,0.00
666,0.10,0.00
667,0.04,66.58
668,0.04,63.78
669,0.07,0.00
670,0.04,71.02
671,0.04,69.50
672,0.05,0.00
673,0.04,63.50
674,0.05,0.00
675,0.18,0.00
676,0.10,0.00
677,0.02,100.00
678,0.11,0.00
679,0.07,0.00
680,0.04,62.40
681,0.03,100.00
682,0.08,0.00
683,0.28,0.00
684,0.19,0.00
685,0.04,66.58
686,0.07,0.00
687,0.05,0.00
688,0.04,63.46
689,0.04,68.68
690,0.05,0.00
691,0.04,61.64
692,0.04,63.01
693,0.07,0.00
694,0.05,0.00
695,0.04,60.10
696,0.11,0.00
697,0.05,0.00
698,0.07,0.00
699,0.20,0.00
700,0.06,0.00
701,0.20,0.00
702,0.04,65.09
703,0.04,69.34
704,0.04,67.18
705,0.32,0.00
706,0.04,63.27
707,0.04,64.17
708,0.21,0.00
709,0.04,64.34
710,0.04,65.28
711,0.14,0.00
712,0.13,0.00
713,0.06,0.00
714,0.27,0.00
715,0.14,0.00
716,0.04,66.73
717,0.05,0.00
718,0.05,0.00
719,0.06,0.00
720,0.04,65.90
721,0.27,0.00
722,0.04,63.18
723,0.05,0.00
724,0.07,0.00
725,0.05,0.00
726,0.02,100.00
727,0.10,0.00
728,0.04,62.25
729,0.06,0.00
730,0.46,0.00
731,0.05,0.00
732,0.04,59.87
733,0.04,63.06
734,0.38,0.00
735,0.04,58.89
736,0.04,62.50
737,0.12,0.00
738,0.04,67.48
739,0.04,58.02
740,0.13,0.00
741,0.04,68.38
742,0.04,66.08
743,0.20,0.00
744,0.05,0.00
745,0.18,0.00
746,0.06,0.00
747,0.04,64.62
748,0.04,63.39
749,0.07,0.00
750,0.13,0.00
751,0.20,0.00
752,0.04,65.11
753,0.05,0.00
754,0.04,63.20
755,0.09,0.00
756,0.04,62.61
757,0.04,62.91
758,0.06,0.00
759,0.04,66.70
760,0.18,0.00
761,0.13,0.00
762,0.15,0.00
763,0.04,65.16
764,0.14,0.00
765,0.13,0.00
766,0.03,100.00
767,0.10,0.00
768,0.10,0.00
769,0.05,0.00
770,0.11,0.00
771,0.12,0.00
772,0.20,0.00
773,0.04,64.65
774,0.12,0.00
775,0.04,67.33
776,0.04,61.31
777,0.21,0.00
778,0.04,67.55
779,0.21,0.00
780,0.07,0.00
781,0.04,65.59
782,0.04,64.18
783,0.20,0.00
784,0.05,0.00
785,0.07,0.00
786,0.04,61.68
787,0.04,69.49
788,0.16,0.00
789,0.04,66.65
790,0.02,100.00
791,0.04,65.51
792,0.13,0.00
793,0.12,0.00
794,0.16,0.00
795,0.04,59.13
796,0.18,0.00
797,0.15,0.00
798,0.04,66.83
799,0.20,0.00
800,0.33,0.00
801,0.29,0.00
802,0.12,0.00
803,0.04,68.44
804,0.11,0.00
805,0.15,0.00
806,0.16,0.00
807,0.17,0.00
808,0.26,0.00
809,0.24,0.00
810,0.07,0.00
811,0.13,0.00
812,0.21,0.00
813,0.05,0.00
814,0.16,0.00
815,0.19,0.00
816,0.03,100.00
817,0.06,0.00
818,0.05,0.00
819,0.15,0.00
820,0.16,0.00
821,0.25,0.00
822,0.18,0.00
823,0.18,0.00
824,0.04,64.06
825,0.04,64.53
826,0.25,0.00
827,0.24,0.00
828,0.04,68.01
829,0.05,0.00
830,0.17,0.00
831,0.04,61.94
832,0.11,0.00
833,0.04,72.98
834,0.04,62.41
835,0.16,0.00
836,0.28,0.00
837,0.30,0.00
838,0.03,100.00
839,0.04,65.18
840,0.19,0.00
841,0.14,0.00
842,0.04,60.72
843,0.13,0.00
844,0.09,0.00
845,0.04,59.67
846,0.22,0.00
847,0.17,0.00
848,0.08,0.00
849,0.16,0.00
850,0.22,0.00
851,0.32,0.00
852,0.35,0.00
853,0.18,0.00
854,0.05,0.00
855,0.19,0.00
856,0.10,0.00
857,0.12,0.00
858,0.20,0.00
859,0.14,0.00
860,0.04,63.36
861,0.28,0.00
862,0.04,68.69
863,0.04,66.89
864,0.04,69.41
865,0.21,0.00
866,0.04,81.20
867,0.12,0.00
868,0.22,0.00
869,0.11,0.00
870,0.20,0.00
871,0.23,0.00
872,0.10,0.00
873,0.30,0.00
874,0.32,0.00
875,0.13,0.00
876,0.20,0.00
877,0.14,0.00
878,0.17,0.00
879,0.17,0.00
880,0.13,0.00
881,0.04,77.20
882,0.04,68.08
883,0.23,0.00
884,0.14,0.00
885,0.04,65.47
886,0.04,78.59
887,0.04,73.02
888,0.04,78.21
889,0.04,64.23
